player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Jordan Bell,GS,PF,"","",23.0,1.0,1.5,.667,0.0,5.5,4.0,1.0,0.5,9.0
Frank Mason III,Sac,PG,"","",26.0,1.0,1.0,1.000,0.0,5.0,6.0,0.5,0.5,14.0
Joe Harris,Bkn,SG,"","",23.3,1.3,1.3,1.000,2.7,5.3,1.7,1.0,0.3,16.0
Stanley Johnson,Det,SF,"","",21.3,0.3,0.5,.500,0.3,5.0,1.5,1.8,0.5,3.5
Jahlil Okafor,Bkn,C,"","",--,--,--,--,--,--,--,--,--,--
Jerian Grant,Chi,PG,"","",23.3,2.0,2.0,1.000,1.0,1.3,7.0,0.7,0.0,9.7
Wayne Selden,Mem,SG,"","",22.3,2.8,3.0,.917,2.0,1.5,2.5,1.0,0.3,16.3
Tony Parker,SA,PG,"","",16.0,0.0,0.0,.000,0.0,2.3,1.7,0.0,0.0,1.3
Shelvin Mack,Orl,PG,"","",22.0,0.7,1.3,.500,2.0,1.3,4.0,2.3,0.3,10.7
Jeremy Lin*,Bkn,PG,O,"",--,--,--,--,--,--,--,--,--,--
Frank Ntilikina,NY,SG,"","",24.0,0.3,0.3,1.000,0.8,2.0,2.3,0.5,0.0,7.5
Josh Hart*,LAL,SG,O,"",--,--,--,--,--,--,--,--,--,--
Shabazz Napier,Por,SG,"","",14.5,0.0,0.0,.000,0.5,2.5,1.0,0.5,0.0,2.5
Zaza Pachulia,GS,C,"","",13.0,0.0,0.0,.000,0.0,6.5,1.5,0.5,0.5,4.0
Aron Baynes,Bos,PF,"","",19.0,0.3,0.3,1.000,0.0,6.3,2.0,0.0,0.3,5.3
Jonathan Isaac*,Orl,SF,O,"",28.0,0.0,1.0,.000,2.0,5.0,0.0,5.0,2.0,10.0
Justin Jackson,Sac,SF,"","",24.0,1.0,1.0,1.000,2.0,1.5,0.5,0.0,0.0,12.0
Emeka Okafor,Nor,C,"","",10.5,0.0,0.0,.000,0.0,2.8,0.5,0.5,1.0,1.0
